0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
97090, ,PE2036,29, 太極拳初級,  ,1,002 50390,半年,必修,游添燈,2,"[18, 19]",60,"專項運動學群,本校修課人數上限：60人",請自備乾淨球鞋。, ,加入,"{'二': ['3', '4']}"
97091, ,PE2041,23, 柔道初級,  ,1,002 50440,半年,必修,黃國恩,2,"[16, 17]",40,"專項運動學群,本校修課人數上限：40人",請自備柔道服。, ,加入,"{'二': ['1', '2']}"
97092, ,PE2041,24, 柔道初級,  ,1,002 50440,半年,必修,黃國恩,2,"[31, 32]",40,"專項運動學群,本校修課人數上限：40人",請自備柔道服。, ,加入,"{'三': ['1', '2']}"
97093, ,PE2041,25, 柔道初級,  ,1,002 50440,半年,必修,黃國恩,2,"[33, 34]",40,"專項運動學群,本校修課人數上限：40人",請自備柔道服。, ,加入,"{'三': ['3', '4']}"
97094, ,PE5002,17, 手球中級,  ,1,002 50570,半年,必修,黃欽永,2,"[8, 9]",60,"專項運動學群,本校修課人數上限：60人",歡迎從未接觸手球的同學選修。, ,加入,"{'一': ['8', '9']}"
97095, ,PE2050,C9, 手球初級,  ,1,002 50580,半年,必修,許君恆,2,"[36, 37]",32,"專項運動學群,本校修課人數上限：32人", , ,加入,"{'三': ['6', '7']}"
97174, ,PE2051,N3, 女手球校隊,  ,1,002 50590,半年,選修,許君恆,2,"[11, 12, 13, 14, 41, 42, 43, 44]",40,"限女生,本校修課人數上限：40人","限校隊學生。上課地點：(一)體育館羽球場；(二)綜館多功能。
", ,加入,"{'一': ['A', 'B', 'C', 'D'], '三': ['A', 'B', 'C', 'D']}"
97175, ,PE2052,K4, 男手球校隊,  ,1,002 50600,半年,選修,黃欽永,2,"[11, 12, 13, 14, 41, 42, 43, 44]",40,"限男生,本校修課人數上限：40人",限校隊學生。, ,加入,"{'一': ['A', 'B', 'C', 'D'], '三': ['A', 'B', 'C', 'D']}"
97096, ,PE2053,B6, 游泳初級,  ,1,002 50630,半年,必修,林謙如,2,"[36, 37]",40,"專項運動學群,本校修課人數上限：40人", , ,加入,"{'三': ['6', '7']}"
97097, ,PE2053,D1, 游泳初級,  ,1,002 50630,半年,必修,許君恆,2,"[38, 39]",40,"專項運動學群,本校修課人數上限：40人", , ,加入,"{'三': ['8', '9']}"
97098, ,PE2054,B3, 游泳中級,  ,1,002 50640,半年,必修,林謙如,2,"[21, 22]",40,"專項運動學群,本校修課人數上限：40人",限修過初級或具備初級能力者。, ,加入,"{'二': ['6', '7']}"
97099, ,PE2055,D7, 水球,  ,1,002 50650,半年,必修,黃英哲,2,"[68, 69]",40,"專項運動學群,本校修課人數上限：40人", ,  ,加入,"{'五': ['8', '9']}"
97176, ,PE2058,N1, 女游泳校隊,  ,1,002 50680,半年,選修,林謙如,2,"[10, 11, 25, 26, 40, 41, 55, 56, 70, 71, 85, 86]",40,"限女生,本校修課人數上限：40人",限校隊學生。上課地點：戶外游泳池。,  ,加入,"{'一': ['10', 'A'], '二': ['10', 'A'], '三': ['10', 'A'], '四': ['10', 'A'], '五': ['10', 'A'], '六': ['10', 'A']}"
97177, ,PE2059,M9, 男游泳校隊,  ,1,002 50690,半年,選修,林謙如,2,"[10, 11, 25, 26, 40, 41, 55, 56, 70, 71, 85, 86]",40,"限男生,本校修課人數上限：40人",限校隊學生。,  ,加入,"{'一': ['10', 'A'], '二': ['10', 'A'], '三': ['10', 'A'], '四': ['10', 'A'], '五': ['10', 'A'], '六': ['10', 'A']}"
97178, ,PE2062,K8, 女田徑校隊,  ,1,002 50740,半年,選修,蔡秀華,2,"[11, 12, 56, 57]",40,本校修課人數上限：40人,限校隊學生。上課地點：田徑場, ,加入,"{'一': ['A', 'B'], '四': ['A', 'B']}"
97179, ,PE2063,K7, 男田徑校隊,  ,1,002 50750,半年,選修,簡坤鐘,2,"[11, 12, 13, 41, 42, 43, 71, 72, 73]",40,本校修課人數上限：40人,限校隊學生。,  ,加入,"{'一': ['A', 'B', 'C'], '三': ['A', 'B', 'C'], '五': ['A', 'B', 'C']}"
97100, ,PE2064,6, 羽球初級,  ,1,002 50780,半年,必修,陳美莉,2,"[16, 17]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,  ,加入,"{'二': ['1', '2']}"
97101, ,PE2064,7, 羽球初級,  ,1,002 50780,半年,必修,陳美莉,2,"[18, 19]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,  ,加入,"{'二': ['3', '4']}"
97102, ,PE2064,8, 羽球初級,  ,1,002 50780,半年,必修,陳美莉,2,"[31, 32]",36,"專項運動學群,本校修課人數上限：36人", ,  ,加入,"{'三': ['1', '2']}"
97103, ,PE2064,9, 羽球初級,  ,1,002 50780,半年,必修,陳美莉,2,"[33, 34]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,  ,加入,"{'三': ['3', '4']}"
97104, ,PE2064,11, 羽球初級,  ,1,002 50780,半年,必修,李坤培,2,"[21, 22]",36,"專項運動學群,本校修課人數上限：36人", ,  , ,"{'二': ['6', '7']}"
97105, ,PE2064,15, 羽球初級,  ,1,002 50780,半年,必修,李坤培,2,"[51, 52]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'四': ['6', '7']}"
97106, ,PE2064,16, 羽球初級,  ,1,002 50780,半年,必修,黃欽永,2,"[6, 7]",36,"專項運動學群,本校修課人數上限：36人", , ,加入,"{'一': ['6', '7']}"
97107, ,PE2064,19, 羽球初級,  ,1,002 50780,半年,必修,黃欽永,2,"[36, 37]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'三': ['6', '7']}"
97108, ,PE2064,20, 羽球初級,  ,1,002 50780,半年,必修,黃欽永,2,"[38, 39]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'三': ['8', '9']}"
97109, ,PE2064,21, 羽球初級,  ,1,002 50780,半年,必修,黃國恩,2,"[1, 2]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'一': ['1', '2']}"
97110, ,PE2064,22, 羽球初級,  ,1,002 50780,半年,必修,黃國恩,2,"[3, 4]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'一': ['3', '4']}"
97111, ,PE2064,57, 羽球初級,  ,1,002 50780,半年,必修,呂碧琴,2,"[1, 2]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'一': ['1', '2']}"
97112, ,PE2064,58, 羽球初級,  ,1,002 50780,半年,必修,呂碧琴,2,"[3, 4]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。, ,加入,"{'一': ['3', '4']}"
97113, ,PE2064,86, 羽球初級,  ,1,002 50780,半年,必修,連家瑩,2,"[46, 47]",40,"專項運動學群,本校修課人數上限：40人", , ,加入,"{'四': ['1', '2']}"
97114, ,PE2064,87, 羽球初級,  ,1,002 50780,半年,必修,連家瑩,2,"[48, 49]",40,"專項運動學群,本校修課人數上限：40人", , ,加入,"{'四': ['3', '4']}"
97115, ,PE2064,D4, 羽球初級,  ,1,002 50780,半年,必修,葉曉月,2,"[46, 47]",48,"專項運動學群,本校修課人數上限：48人",請自備乾淨球鞋。,  ,加入,"{'四': ['1', '2']}"
97116, ,PE2064,J4, 羽球初級,  ,1,002 50780,半年,必修,呂碧琴,2,"[61, 62]",36,"專項運動學群,本校修課人數上限：36人",請自備乾淨球鞋。, ,加入,"{'五': ['1', '2']}"
97117, ,PE2065,37, 羽球中級,  ,1,002 50790,半年,必修,陳志一,2,"[21, 22]",48,"專項運動學群,本校修課人數上限：48人",1.限修過初級或具備初級能力者。2.請自備乾淨球鞋。,  ,加入,"{'二': ['6', '7']}"
